GeneSymbol,ChemicalName,Organism,Interaction,InteractionActions,PubMedIDs,ChemicalID
CDKN1B,Estradiol,Homo sapiens,[Progesterone co-treated with Estradiol] results in increased expression of and results in increased stability of CDKN1B protein,affects^cotreatment|increases^expression|increases^stability,23029392,D004958
CDKN1B,Estradiol,Homo sapiens,SKP2 mutant form inhibits the reaction [Estradiol results in increased degradation of CDKN1B protein],decreases^reaction|increases^degradation,23029392,D004958
CDKN1B,Estrogens,Homo sapiens,[Estrogens co-treated with INS protein] inhibits the reaction [PTEN protein results in increased expression of CDKN1B protein],affects^cotreatment|decreases^reaction|increases^expression,11230179,D004967
CDKN1B,Estrogens,Homo sapiens,Estrogens inhibits the reaction [PTEN protein results in increased expression of CDKN1B protein],decreases^reaction|increases^expression,11230179,D004967
CDKN1B,Etoposide,Homo sapiens,Etoposide results in increased expression of CDKN1B protein,increases^expression,17935137,D005047
CDKN1B,Etoposide,Homo sapiens,Wortmannin promotes the reaction [Etoposide results in increased expression of CDKN1B protein],increases^expression|increases^reaction,17935137,D005047
CDKN1B,Eugenol,Homo sapiens,Eugenol results in increased expression of CDKN1B protein,increases^expression,22686307,D005054
CDKN1B,Farnesol,Homo sapiens,CDKN1B protein results in increased susceptibility to Farnesol,increases^response to substance,17138864,D005204
CDKN1B,Farnesol,Homo sapiens,Farnesol promotes the reaction [CDKN1B protein binds to and results in decreased activity of CDK2 protein],affects^binding|decreases^activity|increases^reaction,17138864,D005204
CDKN1B,Farnesol,Homo sapiens,Farnesol results in increased expression of CDKN1B protein,increases^expression,17138864,D005204
CDKN1B,Fenofibrate,Homo sapiens,ESR1 protein inhibits the reaction [Fenofibrate results in decreased expression of CDKN1B protein],decreases^expression|decreases^reaction,29134746,D011345
CDKN1B,Fenofibrate,Homo sapiens,Estradiol inhibits the reaction [Fenofibrate results in decreased expression of CDKN1B protein],decreases^expression|decreases^reaction,29134746,D011345
CDKN1B,Fenofibrate,Homo sapiens,Fenofibrate results in decreased expression of CDKN1B protein,decreases^expression,29134746,D011345
CDKN1B,Fenretinide,Homo sapiens,Fenretinide results in increased expression of CDKN1B protein,increases^expression,16270382,D017313
CDKN1B,fenvalerate,Homo sapiens,CDKN1B protein inhibits the reaction [fenvalerate results in increased expression of CDK2 mRNA],decreases^reaction|increases^expression,22850687,C017690
CDKN1B,fenvalerate,Homo sapiens,CDKN1B protein results in decreased susceptibility to fenvalerate,decreases^response to substance,22850687,C017690
CDKN1B,fenvalerate,Homo sapiens,fenvalerate results in decreased expression of CDKN1B mRNA,decreases^expression,22850687,C017690
CDKN1B,fenvalerate,Homo sapiens,fenvalerate results in decreased expression of CDKN1B protein,decreases^expression,22850687,C017690
CDKN1B,flavanone,Homo sapiens,flavanone results in increased expression of CDKN1B protein,increases^expression,22056764,C028610
CDKN1B,"flavomannin-6,6'-dimethylether",Homo sapiens,"flavomannin-6,6'-dimethylether results in increased expression of CDKN1B protein",increases^expression,19686795,C544127
CDKN1B,fludarabine,Homo sapiens,[fludarabine co-treated with entinostat] results in decreased expression of CDKN1B protein,affects^cotreatment|decreases^expression,15059916,C024352
CDKN1B,Fluorouracil,Homo sapiens,CDKN1B protein affects the susceptibility to Fluorouracil,affects^response to substance,17217824,D005472
CDKN1B,Fluorouracil,Homo sapiens,Fluorouracil results in decreased expression of CDKN1B mRNA,decreases^expression,18930000,D005472
CDKN1B,Fluoxetine,Homo sapiens,Fluoxetine affects the expression of CDKN1B mRNA,affects^expression,18371935,D005473
CDKN1B,Fluoxetine,Homo sapiens,[Fluoxetine results in decreased activity of CKS1B protein] which results in decreased degradation of CDKN1B protein,decreases^activity|decreases^degradation,18371935,D005473
CDKN1B,Folic Acid,Homo sapiens,AG 1879 inhibits the reaction [Folic Acid results in increased expression of CDKN1B protein],decreases^reaction|increases^expression,26056802,D005492
CDKN1B,Folic Acid,Homo sapiens,caffeic acid phenethyl ester inhibits the reaction [Folic Acid results in increased expression of CDKN1B protein],decreases^reaction|increases^expression,26056802,D005492
CDKN1B,Folic Acid,Homo sapiens,Folic Acid affects the expression of CDKN1B mRNA,affects^expression,16361273,D005492
CDKN1B,Folic Acid,Homo sapiens,Folic Acid results in increased expression of CDKN1B protein,increases^expression,26056802,D005492
CDKN1B,Folic Acid,Homo sapiens,FOLR1 protein affects the reaction [Folic Acid results in increased expression of CDKN1B protein],affects^reaction|increases^expression,26056802,D005492
CDKN1B,Folic Acid,Homo sapiens,TP53 protein affects the reaction [Folic Acid results in increased expression of CDKN1B protein],affects^reaction|increases^expression,26056802,D005492
CDKN1B,Folic Acid,Homo sapiens,U 0126 inhibits the reaction [Folic Acid results in increased expression of CDKN1B protein],decreases^reaction|increases^expression,26056802,D005492
CDKN1B,Formaldehyde,Homo sapiens,Formaldehyde results in decreased expression of CDKN1B protein,decreases^expression,30236600,D005557
CDKN1B,FR900359,Homo sapiens,FR900359 results in increased phosphorylation of CDKN1B protein,increases^phosphorylation,37730182,C000607068
CDKN1B,FTI 277,Homo sapiens,[Tamoxifen co-treated with FTI 277] promotes the reaction [CDKN1B protein binds to [CCNE1 protein binds to CDK2 protein]],affects^binding|affects^cotreatment|increases^reaction,12866041,C096856
CDKN1B,Fulvestrant,Homo sapiens,[bisphenol A co-treated with Fulvestrant] results in decreased methylation of CDKN1B gene,affects^cotreatment|decreases^methylation,31601247,D000077267
CDKN1B,Fulvestrant,Homo sapiens,"[Fulvestrant co-treated with 2-(1H-indazol-4-yl)-6-(4-methanesulfonylpiperazin-1-ylmethyl)-4-morpholin-4-ylthieno(3,2-d)pyrimidine] results in increased expression of CDKN1B protein",affects^cotreatment|increases^expression,33484789,D000077267
CDKN1B,Fulvestrant,Homo sapiens,Fulvestrant inhibits the reaction [Estradiol results in increased degradation of CDKN1B protein],decreases^reaction|increases^degradation,17283133|23029392,D000077267
CDKN1B,Fulvestrant,Homo sapiens,Fulvestrant results in increased expression of CDKN1B protein,increases^expression,21367843,D000077267
CDKN1B,Fungal Polysaccharides,Homo sapiens,Fungal Polysaccharides results in decreased expression of CDKN1B protein,decreases^expression,33421460,D062610
